Gene stable ID	NCBI gene ID	Gene name	Source of gene name	HGNC symbol
ENSG00000261732		AL031708.1	Clone-based (Ensembl) gene	
ENSG00000234718		AC007161.1	Clone-based (Ensembl) gene	
ENSG00000264619	100532732	MSH5-SAPCD1	HGNC Symbol	MSH5-SAPCD1
ENSG00000163464	3577	CXCR1	HGNC Symbol	CXCR1
ENSG00000240305		AC091152.1	Clone-based (Ensembl) gene	
ENSG00000233692	102060414	C4B-AS1	HGNC Symbol	C4B-AS1
ENSG00000226890		Z97652.1	Clone-based (Ensembl) gene	
ENSG00000241534	629	CFB	HGNC Symbol	CFB
ENSG00000173085	27235	COQ2	HGNC Symbol	COQ2
ENSG00000007545	57585	CRAMP1	HGNC Symbol	CRAMP1
ENSG00000233264		AC006042.3	Clone-based (Ensembl) gene	
ENSG00000282365		LINC02091	HGNC Symbol	LINC02091
ENSG00000155961	116442	RAB39B	HGNC Symbol	RAB39B
ENSG00000253711		AC023866.1	Clone-based (Ensembl) gene	
ENSG00000185028	389257	LRRC14B	HGNC Symbol	LRRC14B
ENSG00000186468	6228	RPS23	HGNC Symbol	RPS23
ENSG00000241319		SETP6	HGNC Symbol	SETP6
ENSG00000270314		AC007161.2	Clone-based (Ensembl) gene	
ENSG00000234705		HMGA1P4	HGNC Symbol	HMGA1P4
ENSG00000177182	157807	CLVS1	HGNC Symbol	CLVS1
ENSG00000283549		AC007161.3	Clone-based (Ensembl) gene	
ENSG00000184844		CYCSP45	HGNC Symbol	CYCSP45
ENSG00000261434		AC021087.3	Clone-based (Ensembl) gene	
ENSG00000259609		AC027807.1	Clone-based (Ensembl) gene	
ENSG00000106399	6119	RPA3	HGNC Symbol	RPA3
ENSG00000225988	101929329	LAMP5-AS1	HGNC Symbol	LAMP5-AS1
ENSG00000234457		AC006960.1	Clone-based (Ensembl) gene	
ENSG00000278191	833	CARS	HGNC Symbol	CARS
ENSG00000249312		ARL2BPP4	HGNC Symbol	ARL2BPP4
ENSG00000228007		AC011933.1	Clone-based (Ensembl) gene	
ENSG00000125869	24141	LAMP5	HGNC Symbol	LAMP5
ENSG00000249418		AC005741.1	Clone-based (Ensembl) gene	
ENSG00000265342		AC011933.3	Clone-based (Ensembl) gene	
ENSG00000233518		RPL7P35	HGNC Symbol	RPL7P35
ENSG00000254721		AP000879.1	Clone-based (Ensembl) gene	
ENSG00000250254	10744	PTTG2	HGNC Symbol	PTTG2
ENSG00000224159		HMGB1P9	HGNC Symbol	HMGB1P9
ENSG00000177885	2885	GRB2	HGNC Symbol	GRB2
ENSG00000168040	8772	FADD	HGNC Symbol	FADD
ENSG00000122574	644150	WIPF3	HGNC Symbol	WIPF3
ENSG00000236912	104413891	SAPCD1-AS1	HGNC Symbol	SAPCD1-AS1
ENSG00000244192		AC113367.1	Clone-based (Ensembl) gene	
ENSG00000225649	100506474	AC064875.1	Clone-based (Ensembl) gene	
ENSG00000250405		AC113367.3	Clone-based (Ensembl) gene	
ENSG00000188659	283726	SAXO2	HGNC Symbol	SAXO2
ENSG00000275349	6606	SMN1	HGNC Symbol	SMN1
ENSG00000262218	100533177	KRTAP29-1	HGNC Symbol	KRTAP29-1
ENSG00000248955		AC113367.2	Clone-based (Ensembl) gene	
ENSG00000263103		KRTAP9-10P	HGNC Symbol	KRTAP9-10P
ENSG00000228293		AL049712.1	Clone-based (Ensembl) gene	
ENSG00000213483		NDUFAF4P2	HGNC Symbol	NDUFAF4P2
ENSG00000254635	220906	WAC-AS1	HGNC Symbol	WAC-AS1
ENSG00000237729		AC002075.2	Clone-based (Ensembl) gene	
ENSG00000285876		AC093912.1	Clone-based (Ensembl) gene	
ENSG00000267635	100507608	AC209539.2	Clone-based (Ensembl) gene	
ENSG00000225898		AC002075.1	Clone-based (Ensembl) gene	
ENSG00000236641		Z99916.1	Clone-based (Ensembl) gene	
ENSG00000185818	339983	NAT8L	HGNC Symbol	NAT8L
ENSG00000105825	7980	TFPI2	HGNC Symbol	TFPI2
ENSG00000095787	51322	WAC	HGNC Symbol	WAC
ENSG00000226059		HMGB3P20	HGNC Symbol	HMGB3P20
ENSG00000155962	1193	CLIC2	HGNC Symbol	CLIC2
ENSG00000213787		RPL7AP38	HGNC Symbol	RPL7AP38
ENSG00000117115	11240	PADI2	HGNC Symbol	PADI2
ENSG00000260070		AC006960.3	Clone-based (Ensembl) gene	
ENSG00000262512	85280	KRTAP9-4	HGNC Symbol	KRTAP9-4
ENSG00000267728	81870	KRTAP9-9	NCBI gene	
ENSG00000102103	10084	PQBP1	HGNC Symbol	PQBP1
ENSG00000213881		NPM1P6	HGNC Symbol	NPM1P6
ENSG00000175348	56674	TMEM9B	HGNC Symbol	TMEM9B
ENSG00000254285		KRT8P3	HGNC Symbol	KRT8P3
ENSG00000171847	55138	FAM90A1	HGNC Symbol	FAM90A1
ENSG00000267208		AC209539.1	Clone-based (Ensembl) gene	
ENSG00000267080	339201	ASB16-AS1	HGNC Symbol	ASB16-AS1
ENSG00000262749	83900	KRTAP9-3	HGNC Symbol	KRTAP9-3
ENSG00000263090	83899	KRTAP9-2	HGNC Symbol	KRTAP9-2
ENSG00000263090	83901	KRTAP9-2	HGNC Symbol	KRTAP9-2
ENSG00000106415	113263	GLCCI1	HGNC Symbol	GLCCI1
ENSG00000152348	83734	ATG10	HGNC Symbol	ATG10
ENSG00000175322	162655	ZNF519	HGNC Symbol	ZNF519
ENSG00000161664	92591	ASB16	HGNC Symbol	ASB16
ENSG00000198363	444	ASPH	HGNC Symbol	ASPH
ENSG00000260081	105373383	AF274858.1	Clone-based (Ensembl) gene	
ENSG00000231878		SNRPFP1	HGNC Symbol	SNRPFP1
ENSG00000230491		AC234781.4	Clone-based (Ensembl) gene	
ENSG00000228986		AC234781.3	Clone-based (Ensembl) gene	
ENSG00000225008		AC234781.2	Clone-based (Ensembl) gene	
ENSG00000262919	92002	CCNQ	HGNC Symbol	CCNQ
ENSG00000139842	8451	CUL4A	HGNC Symbol	CUL4A
ENSG00000088881	57593	EBF4	HGNC Symbol	EBF4
ENSG00000230128	8870	IER3	HGNC Symbol	IER3
ENSG00000259404		EFL1P1	HGNC Symbol	EFL1P1
ENSG00000285240		AC244260.2	Clone-based (Ensembl) gene	
ENSG00000260774		AC021087.2	Clone-based (Ensembl) gene	
ENSG00000164366	133957	CCDC127	HGNC Symbol	CCDC127
ENSG00000132664	10621	POLR3F	HGNC Symbol	POLR3F
ENSG00000127928	2792	GNGT1	HGNC Symbol	GNGT1
ENSG00000228571		HSFY7P	HGNC Symbol	HSFY7P
ENSG00000278987		AL031009.1	Clone-based (Ensembl) gene	
ENSG00000230476		OFD1P9Y	HGNC Symbol	OFD1P9Y
ENSG00000214584		PGGT1BP2	HGNC Symbol	PGGT1BP2
ENSG00000009780	199870	FAM76A	HGNC Symbol	FAM76A
ENSG00000273589		AC008175.2	Clone-based (Ensembl) gene	
ENSG00000267756		AC006557.4	Clone-based (Ensembl) gene	
ENSG00000267356		AC006557.3	Clone-based (Ensembl) gene	
ENSG00000214998		CCNB2P1	HGNC Symbol	CCNB2P1
ENSG00000224472	6941	TCF19	HGNC Symbol	TCF19
ENSG00000267150		AC006557.1	Clone-based (Ensembl) gene	
ENSG00000234141		AC006042.4	Clone-based (Ensembl) gene	
ENSG00000233108		AC006042.2	Clone-based (Ensembl) gene	
ENSG00000234695	105375401	AC002076.1	Clone-based (Ensembl) gene	
ENSG00000254985		RSF1-IT2	HGNC Symbol	RSF1-IT2
ENSG00000255409		RSF1-IT1	HGNC Symbol	RSF1-IT1
ENSG00000115641	2274	FHL2	HGNC Symbol	FHL2
ENSG00000219529		AP000580.1	Clone-based (Ensembl) gene	
ENSG00000254571		AL358937.1	Clone-based (Ensembl) gene	
ENSG00000227376		FTH1P16	HGNC Symbol	FTH1P16
ENSG00000186687	90624	LYRM7	HGNC Symbol	LYRM7
ENSG00000095932	284422	SMIM24	HGNC Symbol	SMIM24
ENSG00000233459		AC125238.2	Clone-based (Ensembl) gene	
ENSG00000048649	51773	RSF1	HGNC Symbol	RSF1
ENSG00000233031		AC125238.1	Clone-based (Ensembl) gene	
ENSG00000254860	493900	TMEM9B-AS1	HGNC Symbol	TMEM9B-AS1
ENSG00000272418		AC090607.4	Clone-based (Ensembl) gene	
ENSG00000284716		AL034417.3	Clone-based (Ensembl) gene	
ENSG00000140403	55466	DNAJA4	HGNC Symbol	DNAJA4
ENSG00000116285	54206	ERRFI1	HGNC Symbol	ERRFI1
ENSG00000265987		AC011933.4	Clone-based (Ensembl) gene	
ENSG00000285904		AC006452.1	Clone-based (Ensembl) gene	
ENSG00000259709		AC023906.4	Clone-based (Ensembl) gene	
ENSG00000264853		AC011933.2	Clone-based (Ensembl) gene	
ENSG00000244381		AC007849.2	Clone-based (Ensembl) gene	
ENSG00000182378	55344	PLCXD1	HGNC Symbol	PLCXD1
ENSG00000251614		HSPA8P19	HGNC Symbol	HSPA8P19
ENSG00000116726	390999	PRAMEF12	HGNC Symbol	PRAMEF12
ENSG00000249276		AC104119.1	Clone-based (Ensembl) gene	
ENSG00000270141		TERC	HGNC Symbol	TERC
ENSG00000244752	1415	CRYBB2	HGNC Symbol	CRYBB2
ENSG00000280720		AC226496.3	Clone-based (Ensembl) gene	
ENSG00000284638		AC005551.1	Clone-based (Ensembl) gene	
ENSG00000281174		AC226496.7	Clone-based (Ensembl) gene	
ENSG00000251374		AC010598.1	Clone-based (Ensembl) gene	
ENSG00000169567	3094	HINT1	HGNC Symbol	HINT1
ENSG00000238076		MRPL48P1	HGNC Symbol	MRPL48P1
ENSG00000251495		PPIAP11	HGNC Symbol	PPIAP11
ENSG00000281890		AC226496.10	Clone-based (Ensembl) gene	
ENSG00000081307	79876	UBA5	HGNC Symbol	UBA5
ENSG00000236447		ATG10-IT1	HGNC Symbol	ATG10-IT1
ENSG00000231056		LINC02522	HGNC Symbol	LINC02522
ENSG00000282170	207147	TRY2P	NCBI gene	
ENSG00000248192		ATG10-AS1	HGNC Symbol	ATG10-AS1
ENSG00000280578		AC226496.1	Clone-based (Ensembl) gene	
ENSG00000242600	8512	MBL1P	HGNC Symbol	MBL1P
ENSG00000154016	10750	GRAP	HGNC Symbol	GRAP
ENSG00000280794		AC226496.5	Clone-based (Ensembl) gene	
ENSG00000248464	101927075	FGF10-AS1	HGNC Symbol	FGF10-AS1
ENSG00000184378	84517	ACTRT3	HGNC Symbol	ACTRT3
ENSG00000169562	2705	GJB1	HGNC Symbol	GJB1
ENSG00000281704		AC226496.9	Clone-based (Ensembl) gene	
ENSG00000070193	2255	FGF10	HGNC Symbol	FGF10
ENSG00000280259		AL512662.1	Clone-based (Ensembl) gene	
ENSG00000281127		AC226496.6	Clone-based (Ensembl) gene	
ENSG00000183571	145814	PGPEP1L	HGNC Symbol	PGPEP1L
ENSG00000284747		AL034417.4	Clone-based (Ensembl) gene	
ENSG00000283913	100288974	BMS1P21	NCBI gene	
ENSG00000281612		AC226496.8	Clone-based (Ensembl) gene	
ENSG00000269889		AC078802.1	Clone-based (Ensembl) gene	
ENSG00000157350	6483	ST3GAL2	HGNC Symbol	ST3GAL2
ENSG00000116721	65121	PRAMEF1	HGNC Symbol	PRAMEF1
ENSG00000262542	100533177	KRTAP29-1	HGNC Symbol	KRTAP29-1
ENSG00000184164	79174	CRELD2	HGNC Symbol	CRELD2
ENSG00000217889		KRT18P48	HGNC Symbol	KRT18P48
ENSG00000263115		KRTAP9-10P	HGNC Symbol	KRTAP9-10P
ENSG00000235924		ZNRF2P3	HGNC Symbol	ZNRF2P3
ENSG00000263716		SLC25A51P2	HGNC Symbol	SLC25A51P2
ENSG00000278216	79799	UGT2A3	HGNC Symbol	UGT2A3
ENSG00000133661	6441	SFTPD	HGNC Symbol	SFTPD
ENSG00000135698	10200	MPHOSPH6	HGNC Symbol	MPHOSPH6
ENSG00000183960	131096	KCNH8	HGNC Symbol	KCNH8
ENSG00000278022		AC118658.1	Clone-based (Ensembl) gene	
ENSG00000262221	100505724	KRTAP9-7	HGNC Symbol	KRTAP9-7
ENSG00000259475		AC036108.1	Clone-based (Ensembl) gene	
ENSG00000259621		AC069029.1	Clone-based (Ensembl) gene	
ENSG00000206422	339291	LRRC30	HGNC Symbol	LRRC30
ENSG00000107829	6468	FBXW4	HGNC Symbol	FBXW4
ENSG00000182253	23336	SYNM	HGNC Symbol	SYNM
ENSG00000259240		MIR4713HG	HGNC Symbol	MIR4713HG
ENSG00000259204		AC073964.1	Clone-based (Ensembl) gene	
ENSG00000259306		AC020891.2	Clone-based (Ensembl) gene	
ENSG00000282264		AC231381.1	Clone-based (Ensembl) gene	
ENSG00000263263	100507608	KRTAP9-6	HGNC Symbol	KRTAP9-6
ENSG00000282303		PRSS3P3	HGNC Symbol	PRSS3P3
ENSG00000259701		AC020891.3	Clone-based (Ensembl) gene	
ENSG00000262946		KRTAP9-11P	HGNC Symbol	KRTAP9-11P
ENSG00000262594	81870	KRTAP9-9	HGNC Symbol	KRTAP9-9
ENSG00000078674	5108	PCM1	HGNC Symbol	PCM1
ENSG00000228338	105376745	LINC01784	HGNC Symbol	LINC01784
ENSG00000137869	1588	CYP19A1	HGNC Symbol	CYP19A1
ENSG00000282843		AL590644.3	Clone-based (Ensembl) gene	
ENSG00000160200	875	CBS	HGNC Symbol	CBS
ENSG00000160200	102724560	CBS	HGNC Symbol	CBS
ENSG00000239810	440560	PRAMEF11	HGNC Symbol	PRAMEF11
ENSG00000204362		AL590644.1	Clone-based (Ensembl) gene	
ENSG00000108406	79665	DHX40	HGNC Symbol	DHX40
ENSG00000273372		SFTPD-AS1	HGNC Symbol	SFTPD-AS1
ENSG00000283101		BMS1P21	HGNC Symbol	BMS1P21
ENSG00000105655	51477	ISYNA1	HGNC Symbol	ISYNA1
ENSG00000224657		RBMY2BP	HGNC Symbol	RBMY2BP
ENSG00000260111		AC012184.1	Clone-based (Ensembl) gene	
ENSG00000229370		AC073062.1	Clone-based (Ensembl) gene	
ENSG00000104413	54845	ESRP1	HGNC Symbol	ESRP1
ENSG00000141480	409	ARRB2	HGNC Symbol	ARRB2
ENSG00000172382	83886	PRSS27	HGNC Symbol	PRSS27
ENSG00000278090		LUNAR1	HGNC Symbol	LUNAR1
ENSG00000230448	100499171	LINC00276	HGNC Symbol	LINC00276
ENSG00000263045		AC090286.3	Clone-based (Ensembl) gene	
ENSG00000214367	79441	HAUS3	HGNC Symbol	HAUS3
ENSG00000282423		TRBV1	HGNC Symbol	TRBV1
ENSG00000227718		AC016730.1	Clone-based (Ensembl) gene	
ENSG00000196893		AC090286.1	Clone-based (Ensembl) gene	
ENSG00000213067		AC092447.1	Clone-based (Ensembl) gene	
ENSG00000279825		AC003957.1	Clone-based (Ensembl) gene	
ENSG00000282568		TRBV2	HGNC Symbol	TRBV2
ENSG00000271047		AC092447.9	Clone-based (Ensembl) gene	
ENSG00000274966		AC019322.3	Clone-based (Ensembl) gene	
ENSG00000229909		TRIM60P16	HGNC Symbol	TRIM60P16
ENSG00000159556	64843	ISL2	HGNC Symbol	ISL2
ENSG00000279298		Z99916.3	Clone-based (Ensembl) gene	
ENSG00000178562	940	CD28	HGNC Symbol	CD28
ENSG00000188522	644815	FAM83G	HGNC Symbol	FAM83G
ENSG00000231103		PRAMEF30P	HGNC Symbol	PRAMEF30P
ENSG00000228505		AC011897.1	Clone-based (Ensembl) gene	
ENSG00000180138	122011	CSNK1A1L	HGNC Symbol	CSNK1A1L
ENSG00000142623	29943	PADI1	HGNC Symbol	PADI1
ENSG00000228769		ABCF2P2	HGNC Symbol	ABCF2P2
ENSG00000235581		AC005011.1	Clone-based (Ensembl) gene	
ENSG00000228303		AC095038.1	Clone-based (Ensembl) gene	
ENSG00000274549		AL356274.1	Clone-based (Ensembl) gene	
ENSG00000183166	83698	CALN1	HGNC Symbol	CALN1
ENSG00000186714	493860	CCDC73	HGNC Symbol	CCDC73
ENSG00000279511		AL356274.2	Clone-based (Ensembl) gene	
ENSG00000233577		AL022332.1	Clone-based (Ensembl) gene	
ENSG00000277174		AC095038.2	Clone-based (Ensembl) gene	
ENSG00000230283		RPS12P24	HGNC Symbol	RPS12P24
ENSG00000235012		AF121897.1	Clone-based (Ensembl) gene	
ENSG00000282879		AC095038.3	Clone-based (Ensembl) gene	
ENSG00000285690		AL022332.2	Clone-based (Ensembl) gene	
ENSG00000285968		AL022324.4	Clone-based (Ensembl) gene	
ENSG00000206066		IGLL3P	HGNC Symbol	IGLL3P
ENSG00000230390	103695431	LINC01048	HGNC Symbol	LINC01048
ENSG00000251126		AC017007.5	Clone-based (Ensembl) gene	
ENSG00000259514		AC027243.1	Clone-based (Ensembl) gene	
ENSG00000277253		AC118758.2	Clone-based (Ensembl) gene	
ENSG00000254736		BRD9P1	HGNC Symbol	BRD9P1
ENSG00000275226	400121	LINC00547	HGNC Symbol	LINC00547
ENSG00000251688		LINC02507	HGNC Symbol	LINC02507
ENSG00000251298		AC093835.1	Clone-based (Ensembl) gene	
ENSG00000186399	101059918	GOLGA8R	HGNC Symbol	GOLGA8R
ENSG00000225330		AF064860.1	Clone-based (Ensembl) gene	
ENSG00000254510	266743	AP001107.5	Clone-based (Ensembl) gene	
ENSG00000183778	10317	B3GALT5	HGNC Symbol	B3GALT5
ENSG00000269243		AC008894.2	Clone-based (Ensembl) gene	
ENSG00000173702	56667	MUC13	HGNC Symbol	MUC13
ENSG00000130997	353497	POLN	HGNC Symbol	POLN
ENSG00000270036		AC027243.2	Clone-based (Ensembl) gene	
ENSG00000196684	84941	HSH2D	HGNC Symbol	HSH2D
ENSG00000224917		AC016694.1	Clone-based (Ensembl) gene	
ENSG00000230727		RBMY2WP	HGNC Symbol	RBMY2WP
ENSG00000173530	8793	TNFRSF10D	HGNC Symbol	TNFRSF10D
ENSG00000106459	4899	NRF1	HGNC Symbol	NRF1
ENSG00000228240	252949	TTTY17A	HGNC Symbol	TTTY17A
ENSG00000248724	348808	NPHP3-AS1	HGNC Symbol	NPHP3-AS1
ENSG00000276829		AC016911.1	Clone-based (Ensembl) gene	
ENSG00000215537		ZNF736P11Y	HGNC Symbol	ZNF736P11Y
ENSG00000270903		HNRNPA3P9	HGNC Symbol	HNRNPA3P9
ENSG00000168439	10963	STIP1	HGNC Symbol	STIP1
ENSG00000244535		AL049714.1	Clone-based (Ensembl) gene	
ENSG00000226906	114761	TTTY4	HGNC Symbol	TTTY4
ENSG00000225572	100506413	DOCK4-AS1	HGNC Symbol	DOCK4-AS1
ENSG00000178605	8225	GTPBP6	HGNC Symbol	GTPBP6
ENSG00000184809	114041	B3GALT5-AS1	HGNC Symbol	B3GALT5-AS1
ENSG00000149100	10480	EIF3M	HGNC Symbol	EIF3M
ENSG00000129048	51554	ACKR4	HGNC Symbol	ACKR4
ENSG00000183753	9083	BPY2	HGNC Symbol	BPY2
ENSG00000128512	9732	DOCK4	HGNC Symbol	DOCK4
ENSG00000274810	100532724	NPHP3-ACAD11	HGNC Symbol	NPHP3-ACAD11
ENSG00000163466	10109	ARPC2	HGNC Symbol	ARPC2
ENSG00000233915		UBE2Q2P10	HGNC Symbol	UBE2Q2P10
ENSG00000279072		AC118758.3	Clone-based (Ensembl) gene	
ENSG00000205333		GOLGA2P1	HGNC Symbol	GOLGA2P1
ENSG00000253292		MIOXP1	HGNC Symbol	MIOXP1
ENSG00000254115		AC090572.3	Clone-based (Ensembl) gene	
ENSG00000085719	8895	CPNE3	HGNC Symbol	CPNE3
ENSG00000242992		FTH1P4	HGNC Symbol	FTH1P4
ENSG00000075785	7879	RAB7A	HGNC Symbol	RAB7A
ENSG00000104164	26258	BLOC1S6	HGNC Symbol	BLOC1S6
ENSG00000101336	3055	HCK	HGNC Symbol	HCK
ENSG00000164168	55751	TMEM184C	HGNC Symbol	TMEM184C
ENSG00000240303	84129	ACAD11	HGNC Symbol	ACAD11
ENSG00000223563		AP001599.1	Clone-based (Ensembl) gene	
ENSG00000276043	29128	UHRF1	HGNC Symbol	UHRF1
ENSG00000276551		AC008746.5	Clone-based (Ensembl) gene	
ENSG00000154736	11096	ADAMTS5	HGNC Symbol	ADAMTS5
ENSG00000233437	100130849	AC118758.1	Clone-based (Ensembl) gene	
ENSG00000225244		AC069152.1	Clone-based (Ensembl) gene	
ENSG00000189166		TNRC18P3	HGNC Symbol	TNRC18P3
ENSG00000126226	55795	PCID2	HGNC Symbol	PCID2
ENSG00000173706	57493	HEG1	HGNC Symbol	HEG1
ENSG00000262050	105371592	AC005696.1	Clone-based (Ensembl) gene	
ENSG00000164169	90826	PRMT9	HGNC Symbol	PRMT9
ENSG00000250623		AL136360.2	Clone-based (Ensembl) gene	
ENSG00000249047		COX6B1P5	HGNC Symbol	COX6B1P5
ENSG00000249006		AL136360.1	Clone-based (Ensembl) gene	
ENSG00000132361	23277	CLUH	HGNC Symbol	CLUH
ENSG00000282680		AP005902.4	Clone-based (Ensembl) gene	
ENSG00000213791		AC104212.1	Clone-based (Ensembl) gene	
ENSG00000262896	85280	KRTAP9-4	HGNC Symbol	KRTAP9-4
ENSG00000241746		AC104212.2	Clone-based (Ensembl) gene	
ENSG00000253237		AC034114.1	Clone-based (Ensembl) gene	
ENSG00000282382		AP005902.3	Clone-based (Ensembl) gene	
ENSG00000253238		AC034114.2	Clone-based (Ensembl) gene	
ENSG00000262573	83899	KRTAP9-2	HGNC Symbol	KRTAP9-2
ENSG00000262573	83901	KRTAP9-2	HGNC Symbol	KRTAP9-2
ENSG00000167461	4218	RAB8A	HGNC Symbol	RAB8A
ENSG00000275607		AC135507.2	Clone-based (Ensembl) gene	
ENSG00000140395	80349	WDR61	HGNC Symbol	WDR61
ENSG00000229108		LINC02587	HGNC Symbol	LINC02587
ENSG00000225974		AC005550.1	Clone-based (Ensembl) gene	
ENSG00000274665	5816	PVALB	HGNC Symbol	PVALB
ENSG00000205189	65986	ZBTB10	HGNC Symbol	ZBTB10
ENSG00000174576	266743	NPAS4	HGNC Symbol	NPAS4
ENSG00000204421	80740	LY6G6C	HGNC Symbol	LY6G6C
ENSG00000214285	594857	NPS	HGNC Symbol	NPS
ENSG00000237448		RPL3P2	HGNC Symbol	RPL3P2
ENSG00000239483		RPS15AP16	HGNC Symbol	RPS15AP16
ENSG00000279725		AL391005.1	Clone-based (Ensembl) gene	
ENSG00000239503		MARK2P8	HGNC Symbol	MARK2P8
ENSG00000229265		USP8P1	HGNC Symbol	USP8P1
ENSG00000233376		AL117382.2	Clone-based (Ensembl) gene	
ENSG00000235068	5460	POU5F1	HGNC Symbol	POU5F1
ENSG00000229005	101927219	HNF4A-AS1	HGNC Symbol	HNF4A-AS1
ENSG00000285816		AP000944.2	Clone-based (Ensembl) gene	
ENSG00000262372		CR936218.1	Clone-based (Ensembl) gene	
ENSG00000228954		BX927178.1	Clone-based (Ensembl) gene	
ENSG00000214668		SLC29A4P1	HGNC Symbol	SLC29A4P1
ENSG00000214401	644246	KANSL1-AS1	HGNC Symbol	KANSL1-AS1
ENSG00000149798	10435	CDC42EP2	HGNC Symbol	CDC42EP2
ENSG00000224608	3106	HLA-B	HGNC Symbol	HLA-B
ENSG00000101076	3172	HNF4A	HGNC Symbol	HNF4A
ENSG00000204420	80739	MPIG6B	HGNC Symbol	MPIG6B
ENSG00000130511	170463	SSBP4	HGNC Symbol	SSBP4
ENSG00000112474	7923	HSD17B8	HGNC Symbol	HSD17B8
ENSG00000014138	23649	POLA2	HGNC Symbol	POLA2
ENSG00000276068	4671	NAIP	HGNC Symbol	NAIP
ENSG00000230833		RPEP3	HGNC Symbol	RPEP3
ENSG00000231344		AL020997.1	Clone-based (Ensembl) gene	
ENSG00000224817		AC010789.1	Clone-based (Ensembl) gene	
ENSG00000281401		Z82185.2	Clone-based (Ensembl) gene	
ENSG00000263127		RPL4P5	HGNC Symbol	RPL4P5
ENSG00000126768	10245	TIMM17B	HGNC Symbol	TIMM17B
ENSG00000262214		KRTAP9-12P	HGNC Symbol	KRTAP9-12P
ENSG00000280745		AC208386.1	Clone-based (Ensembl) gene	
ENSG00000274039		AL355140.2	Clone-based (Ensembl) gene	
ENSG00000104689	8797	TNFRSF10A	HGNC Symbol	TNFRSF10A
ENSG00000276497	320	APBA1	HGNC Symbol	APBA1
ENSG00000251867		AC009812.1	Clone-based (Ensembl) gene	
ENSG00000215326		GPX1P2	HGNC Symbol	GPX1P2
ENSG00000232977	100506697	LINC00327	HGNC Symbol	LINC00327
ENSG00000227893		LINC00352	HGNC Symbol	LINC00352
ENSG00000179172	343069	HNRNPCL1	HGNC Symbol	HNRNPCL1
ENSG00000249458		AC092673.1	Clone-based (Ensembl) gene	
ENSG00000250263		LINC02509	HGNC Symbol	LINC02509
ENSG00000232132	100874208	NDFIP2-AS1	HGNC Symbol	NDFIP2-AS1
ENSG00000249008		AC097518.1	Clone-based (Ensembl) gene	
ENSG00000282624		TRBV3-1	HGNC Symbol	TRBV3-1
ENSG00000102471	54602	NDFIP2	HGNC Symbol	NDFIP2
ENSG00000120952	65122	PRAMEF2	HGNC Symbol	PRAMEF2
ENSG00000127863	55504	TNFRSF19	HGNC Symbol	TNFRSF19
ENSG00000273192		AL671710.1	Clone-based (Ensembl) gene	
ENSG00000105186	84079	ANKRD27	HGNC Symbol	ANKRD27
ENSG00000182858	79087	ALG12	HGNC Symbol	ALG12
ENSG00000278843	79148	MMP28	HGNC Symbol	MMP28
ENSG00000282014		TRBV4-1	HGNC Symbol	TRBV4-1
ENSG00000133110	10631	POSTN	HGNC Symbol	POSTN
ENSG00000113971	27031	NPHP3	HGNC Symbol	NPHP3
ENSG00000253930		TNFRSF10A-AS1	HGNC Symbol	TNFRSF10A-AS1
ENSG00000250714		AC100861.2	Clone-based (Ensembl) gene	
ENSG00000246582	389641	AC100861.1	Clone-based (Ensembl) gene	
ENSG00000243073	400735	PRAMEF4	HGNC Symbol	PRAMEF4
ENSG00000243265		RPL23AP55	HGNC Symbol	RPL23AP55
ENSG00000182902	83733	SLC25A18	HGNC Symbol	SLC25A18
ENSG00000177469	284119	CAVIN1	HGNC Symbol	CAVIN1
ENSG00000234064		PRAMEF29P	HGNC Symbol	PRAMEF29P
ENSG00000204510	441871	PRAMEF7	HGNC Symbol	PRAMEF7
ENSG00000107831	2253	FGF8	HGNC Symbol	FGF8
ENSG00000170289	54714	CNGB3	HGNC Symbol	CNGB3
ENSG00000229303		PPIAP25	HGNC Symbol	PPIAP25
ENSG00000158985	56990	CDC42SE2	HGNC Symbol	CDC42SE2
ENSG00000232423	440561	PRAMEF6	HGNC Symbol	PRAMEF6
ENSG00000282355		CARS-AS1	HGNC Symbol	CARS-AS1
ENSG00000236332		AP001604.1	Clone-based (Ensembl) gene	
ENSG00000281208		AC136352.6	Clone-based (Ensembl) gene	
ENSG00000281803		AC136352.9	Clone-based (Ensembl) gene	
ENSG00000233300		EIF4A1P1	HGNC Symbol	EIF4A1P1
ENSG00000217026		RPL10P1	HGNC Symbol	RPL10P1
ENSG00000274439		CXADRP2	HGNC Symbol	CXADRP2
ENSG00000231236		AP001605.1	Clone-based (Ensembl) gene	
ENSG00000281153		AC136352.5	Clone-based (Ensembl) gene	
ENSG00000281718		GRAMD4P6	HGNC Symbol	GRAMD4P6
ENSG00000137767	58472	SQOR	HGNC Symbol	SQOR
ENSG00000242993		AP000870.1	Clone-based (Ensembl) gene	
ENSG00000266405	645158	CBX3P2	NCBI gene	
ENSG00000187545	343071	PRAMEF10	HGNC Symbol	PRAMEF10
ENSG00000156920	139378	ADGRG4	HGNC Symbol	ADGRG4
ENSG00000278699	102724631	POTEB3	HGNC Symbol	POTEB3
ENSG00000184494	4758	NEU1	HGNC Symbol	NEU1
ENSG00000259962		AC007342.2	Clone-based (Ensembl) gene	
ENSG00000282803		TRBV5-1	HGNC Symbol	TRBV5-1
